Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Manufacture,P/N,Voltage,Power,Material,Tolerance,Temperature
1,x20,10NF-0603-50V-10%-SparkFun-Capacitors-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12,0.01uF,603,12,https://octopart.com/search?q=GCD188R71H103KA01&start=0,Murata,GCD188R71H103KA01D,50V,200W,Ceramic,10%,125C
2,x20,10NF-0603-50V-10%-SparkFun-Capacitors-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,C16 C17,0.01uF,805,2,https://octopart.com/gcm21br72a104ka37l-murata-7894859?r=sp&s=epPbqnHBSlK__JA7imwDUw,Murata,GCM21BR72A104KA37L,100V,200W,Multilayer Ceramic,10%,125C
3,x20,10NF-0603-50V-10%-SparkFun-Capacitors-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,C13 C14 C15,1.0uF,805,3,https://octopart.com/gcm188r71c105ka64d-murata-13159598?r=sp&s=PgQJPuLnQxmEWQYJOr2J9Q,Murata,GCM188R71C105KA64D,100V,200W,Multilayer Ceramic,10%,125C
4,x15,LED-GREEN0603-SparkFun-LED-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12,LED-GREEN0603,LED-0603,12,https://octopart.com/search?q=LTST-C190KGKT&start=0,Lite-On,LTST-C190KGKT,5v,"75mW, 30mA, 80mApeak",AlInGaP Chip LED,DIO-00821,-30C to +85C
5,x15,LED-GREEN0603-SparkFun-LED-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,D13,LED-RED0603,LED-0603,1,https://octopart.com/search?q=LTST-C190KGKT&start=0,Lite-On,LTST-C190KGKT,5v,"75mW, 30mA, 80mApeak",AlInGaP Chip LED,DIO-00821,-30C to +85C
6,x20,CONN_02-SparkFun-Connectors-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,J2 J3,CONN_02,1X02,2,,,,,,,,
7,x10,Conn_01x08-Connector-BMS_6804IG-2_Slave_V1-rescue,J4,Conn_01x08,1X08,1,https://datasheet.octopart.com/22-28-8081-Molex-datasheet-13787553.pdf,Molex,22-28-8081,100V,NA,Plastic/Nylon/Metal,NA,125C
8,x10,Conn_01x14-Connector-BMS_6804IG-2_Slave_V1-rescue,J1,Conn_01x14,1X14,1,https://datasheet.octopart.com/022284143-Molex-datasheet-8335610.pdf,Molex/GlenAir,22-28-4143,100V,NA,Plastic/Nylon/Metal,NA,125C
9,x100,MOSFET-P-RocketScreamKicadLibrary-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10 Q11 Q12,MOSFET-P,SOT23-3,12,https://octopart.com/bss308peh6327xtsa1-infineon-21522152?r=sp&s=YNN-N804T-ufxvhA8lhE1Q,Infineon,BSS308PEH6327XTSA1,-30V,0.5W,P-MOSFET,unipolar,Automotive
10,x15,TRANS_NPN-2N3904-SparkFun-DiscreteSemi-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,Q13,"TRANS_NPN 100V, 2A, Low Vce",SOT223,1,http://datasheet.octopart.com/NSV1C201MZ4T1G-ON-Semiconductor-datasheet-13700335.pdf,ON Semiconductor,NSV1C201MZ4T1G,100V,800mW,NPN Transistor,"ON SEMI, NSV1C201MZ4",-55C to +150C
11,x20,100OHM-0603-1_10W-1%-SparkFun-Resistors-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,R51,1.4K OHM,603,1,https://octopart.com/crcw06031k40fkea-vishay-39856971?r=sp&s=N5tJThrfRgmPb8fESt6iJg,Vishay,CRCW06031K40FKEA,50V,1/10W,Thick Film SMD Paper,1%,Automotive
12,,RESISTORAXIAL-0.3-SparkFun-Resistors-BMS_6804IG-2_Slave_V1-rescue,R49,100 OHM,AXIAL-0.1,1,,?,?,50V,1W,carbon axial-0.3,100 ohm 1W 10%,125
13,x100,100OHM-0603-1_10W-1%-SparkFun-Resistors-BMS_6804IG-2_Slave_V1-rescue-BMS_6804IG-2_Slave_V1-rescue,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R61 R64 R65,100 ohm,603,15,https://octopart.com/search?q=NRC06F1000TRF&start=0,NIC Components,NRC06F1000TRF,50V,1/10W,Thin Film Thick Film SMD Paper,1%,automotive
